Name,Platform,Year,Genre,Publisher,Global_Sales
Asteroids,2600,1980,Shooter,Atari,4.31
Missile Command,2600,1980,Shooter,Atari,2.76
Kaboom!,2600,1980,Misc,Activision,1.15
Defender,2600,1980,Misc,Atari,1.05
Boxing,2600,1980,Fighting,Activision,0.77
Ice Hockey,2600,1980,Sports,Activision,0.49
Freeway,2600,1980,Action,Activision,0.34
Bridge,2600,1980,Misc,Activision,0.27
Checkers,2600,1980,Misc,Atari,0.24
Pitfall!,2600,1981,Platform,Activision,4.5
Frogger,2600,1981,Action,Parker Bros.,2.2
Demon Attack,2600,1981,Shooter,Imagic,2.13
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.97
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.65
River Raid,2600,1981,Shooter,Activision,1.6
Donkey Kong,2600,1981,Platform,Coleco,1.46
Centipede,2600,1981,Shooter,Atari,1.36
Atlantis,2600,1981,Shooter,Imagic,1.27
Megamania,2600,1981,Shooter,Activision,1.1
Cosmic Ark,2600,1981,Shooter,Imagic,1.05
Donkey Kong Junior,2600,1981,Platform,Atari,0.97
Spider-Man,2600,1981,Action,Parker Bros.,0.93
Custer's Revenge,2600,1981,Action,Mystique,0.82
Alien,2600,1981,Action,20th Century Fox Video Games,0.79
Air Raid,2600,1981,Action,Men-A-Vision,0.77
Berzerk,2600,1981,Shooter,Atari,0.73
King Kong,2600,1981,Action,Tigervision,0.69
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.67
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.59
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.59
Raiders of the Lost Ark,2600,1981,Action,Atari,0.5
Grand Prix,2600,1981,Racing,Activision,0.48
Phoenix,2600,1981,Simulation,Atari,0.45
Jawbreaker,2600,1981,Action,Tigervision,0.45
Barnstorming,2600,1981,Action,Activision,0.43
Mouse Trap,2600,1981,Action,Coleco,0.4
Laser Blast,2600,1981,Action,Activision,0.39
Airlock,2600,1981,Action,Data Age,0.39
Dragonfire,2600,1981,Action,Imagic,0.37
Frogs And Flies,2600,1981,Action,Mattel Interactive,0.36
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.34
Carnival,2600,1981,Shooter,Coleco,0.34
Fireball,2600,1981,Action,Starpath Corp.,0.33
Astroblast,2600,1981,Action,Mattel Interactive,0.31
Fast Food,2600,1981,Action,Unknown,0.29
RealSports Football,2600,1981,Sports,Atari,0.26
Front Line,2600,1981,Action,Taito,0.24
Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.24
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.22
Reactor,2600,1981,Action,Parker Bros.,0.22
Crazy Climber,2600,1981,Action,Atari,0.22
RealSports Baseball,2600,1981,Sports,Atari,0.21
International Soccer,2600,1981,Sports,Mattel Interactive,0.19
Armor Ambush,2600,1981,Action,Mattel Interactive,0.17
RealSports Volleyball,2600,1981,Sports,Atari,0.13
Pac-Man,2600,1982,Puzzle,Atari,7.81
Dig Dug,2600,1982,Puzzle,Atari,1.64
Mario Bros.,2600,1982,Platform,Atari,1.59
Pole Position,2600,1982,Racing,Atari,1.18
Moon Patrol,2600,1982,Shooter,Atari,1.12
Jungle Hunt,2600,1982,Platform,Atari,1.1
Joust,2600,1982,Platform,Atari,1.08
Enduro,2600,1982,Misc,Quelle,0.87
Yars' Revenge,2600,1982,Shooter,Atari,0.78
Galaxian,2600,1982,Shooter,Atari,0.77
Kangaroo,2600,1982,Platform,Atari,0.72
Keystone Kapers,2600,1982,Action,Activision,0.66
X-Man,2600,1982,Action,Universal Gamex,0.63
Battlezone,2600,1982,Shooter,Atari,0.62
Halloween,2600,1982,Action,Wizard Video Games,0.62
Q*bert,2600,1982,Puzzle,Parker Bros.,0.58
The Activision Decathlon,2600,1982,Sports,Activision,0.55
Action Force,2600,1982,Action,CPG Products,0.54
Popeye,2600,1982,Platform,Parker Bros.,0.54
Chopper Command,2600,1982,Shooter,Activision,0.5
RealSports Tennis,2600,1982,Sports,Atari,0.5
Gauntlet,2600,1982,Action,Answer Software,0.5
Congo Bongo,2600,1982,Action,Sega,0.4
Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.39
Gravitar,2600,1982,Action,Atari,0.38
Alien's Return,2600,1982,Action,ITT Family Games,0.34
Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.34
Frankenstein's Monster,2600,1982,Action,Data Age,0.32
Mountain King,2600,1982,Action,CBS Electronics,0.31
Polaris,2600,1982,Action,Tigervision,0.28
Mr. Do!,2600,1982,Action,Coleco,0.27
Porky's,2600,1982,Action,20th Century Fox Video Games,0.25
Assault,2600,1982,Action,Bomb,0.22
Death Trap,2600,1982,Action,Avalon Interactive,0.17
Pressure Cooker,2600,1982,Action,Activision,0.15
Krull,2600,1982,Action,Atari,0.14
Baseball,NES,1983,Sports,Nintendo,3.2
Mario Bros.,NES,1983,Platform,Nintendo,2.28
Mahjong,NES,1983,Misc,Nintendo,2.14
Pitfall II: Lost Caverns,2600,1983,Platform,Activision,1.31
Donkey Kong,NES,1983,Platform,Nintendo,1.13
Donkey Kong Jr.,NES,1983,Platform,Nintendo,1.11
Popeye,NES,1983,Platform,Nintendo,1.1
Jr. Pac-Man,2600,1983,Puzzle,Atari,0.78
Crystal Castles,2600,1983,Action,Atari,0.77
Midnight Magic,2600,1983,Action,Atari,0.5
Millipede,2600,1983,Shooter,Atari,0.48
Gremlins,2600,1983,Action,Atari,0.46
Pengo,2600,1983,Adventure,Atari,0.4
Frostbite,2600,1983,Action,Activision,0.34
Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.33
Dolphin,2600,1983,Action,Activision,0.29
Mr. Do!'s Castle,2600,1983,Action,Parker Bros.,0.17
Duck Hunt,NES,1984,Shooter,Nintendo,28.31
Excitebike,NES,1984,Racing,Nintendo,4.16
Golf,NES,1984,Sports,Nintendo,4.01
Tennis,NES,1984,Sports,Nintendo,2.17
Pinball,NES,1984,Action,Nintendo,1.85
F1 Race,NES,1984,Racing,Nintendo,1.52
Xevious,NES,1984,Shooter,Namco Bandai Games,1.52
4 Nin uchi Mahjong,NES,1984,Misc,Nintendo,1.45
Hogan's Alley,NES,1984,Shooter,Nintendo,1.27
Pac-Man,NES,1984,Puzzle,Namco Bandai Games,1.22
Lode Runner,NES,1984,Puzzle,Hudson Soft,1.1
Clu Clu Land,NES,1984,Puzzle,Nintendo,0.82
Mappy,NES,1984,Platform,Namco Bandai Games,0.69
Beamrider,2600,1984,Racing,Activision,0.27
Super Mario Bros.,NES,1985,Platform,Nintendo,40.24
Kung Fu,NES,1985,Action,Nintendo,3.5
Soccer,NES,1985,Sports,Nintendo,1.96
Ice Climber,NES,1985,Platform,Nintendo,1.5
Gyromite,NES,1985,Puzzle,Nintendo,1.32
Tag Team Match M.U.S.C.L.E.,NES,1985,Fighting,Namco Bandai Games,1.05
Bomberman,NES,1985,Puzzle,Hudson Soft,1.03
1942,NES,1985,Shooter,Capcom,1
Balloon Fight,NES,1985,Platform,Nintendo,0.92
Wrecking Crew,NES,1985,Platform,Nintendo,0.51
Ghostbusters,2600,1985,Puzzle,Activision,0.45
Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0.41
Alter Ego,PC,1985,Simulation,Activision,0.03
Strongest Tokyo University Shogi DS,DS,1985,Action,Mycom,0.02
The Legend of Zelda,NES,1986,Action,Nintendo,6.51
World Class Track Meet,NES,1986,Sports,Namco Bandai Games,3.08
Metroid,NES,1986,Action,Nintendo,2.73
Super Mario Bros.: The Lost Levels,NES,1986,Platform,Nintendo,2.65
Dragon Warrior,NES,1986,Role-Playing,Capcom,2.52
Pro Yakyuu Family Stadium,NES,1986,Sports,Namco Bandai Games,2.2
Rad Racer,NES,1986,Racing,Nintendo,1.96
Kid Icarus,NES,1986,Platform,Nintendo,1.76
Ghosts 'n Goblins,NES,1986,Action,Capcom,1.64
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,1.5
Gradius,NES,1986,Shooter,Konami Digital Entertainment,1.36
Castlevania,NES,1986,Platform,Konami Digital Entertainment,1.23
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,1.2
Ganbare Goemon! Karakuri Douchuu,NES,1986,Platform,Konami Digital Entertainment,1.2
Doraemon,NES,1986,Action,Hudson Soft,1.15
Commando,NES,1986,Action,Capcom,1.14
Adventure Island,NES,1986,Platform,Hudson Soft,1.05
Star Soldier,NES,1986,Shooter,Hudson Soft,0.96
The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.57
Solaris,2600,1986,Shooter,Atari,0.37
RealSports Boxing,2600,1986,Sports,Atari,0.29
Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,4.38
Mike Tyson's Punch-Out!!,NES,1987,Fighting,Nintendo,3.02
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,2.56
Pro Wrestling,NES,1987,Fighting,Nintendo,2.4
Volleyball,NES,1987,Sports,Nintendo,2.15
Pro Yakyuu Family Stadium '87,NES,1987,Sports,Namco Bandai Games,1.42
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,1.25
Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.93
Final Fantasy,NES,1987,Role-Playing,SquareSoft,0.84
Mega Man,NES,1987,Platform,Capcom,0.81
Kung-Fu Master,2600,1987,Action,Activision,0.65
Commando,2600,1987,Action,Activision,0.47
Defender II,2600,1987,Shooter,Atari,0.45
Desert Falcon,2600,1987,Shooter,Atari,0.26
Super Football,2600,1987,Sports,Atari,0.08
Super Baseball,2600,1987,Sports,Atari,0.07
Super Mario Bros. 3,NES,1988,Platform,Nintendo,17.28
Super Mario Bros. 2,NES,1988,Platform,Nintendo,7.46
Tetris,NES,1988,Puzzle,Nintendo,5.58
Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,3.87
Ice Hockey,NES,1988,Sports,Nintendo,2.42
R.C. Pro-Am,NES,1988,Racing,Nintendo,2.14
Donkey Kong Classics,NES,1988,Platform,Nintendo,1.56
Mega Man 2,NES,1988,Action,Capcom,1.51
Disney's DuckTales,GB,1988,Platform,Capcom,1.43
Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,1.25
Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,1.18
Final Fantasy II,NES,1988,Role-Playing,SquareSoft,0.76
River Raid II,2600,1988,Shooter,Activision,0.51
Rampage,2600,1988,Action,Activision,0.24
SimCity,PC,1988,Simulation,Maxis,0.03
Tetris,GB,1989,Puzzle,Nintendo,30.26
Super Mario Land,GB,1989,Platform,Nintendo,18.14
Dr. Mario,GB,1989,Puzzle,Nintendo,5.34
Teenage Mutant Ninja Turtles,NES,1989,Action,Palcom,4.17
Golf,GB,1989,Sports,Nintendo,2.12
Tennis,GB,1989,Sports,Nintendo,1.99
Alleyway,GB,1989,Puzzle,Nintendo,1.94
Disney's DuckTales,NES,1989,Platform,Capcom,1.67
Baseball,GB,1989,Sports,Nintendo,1.61
Yakuman,GB,1989,Misc,Nintendo,1.28
SolarStriker,GB,1989,Shooter,Nintendo,1.2
The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,1.1
Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,1.1
Castlevania III: Dracula's Curse,NES,1989,Platform,Konami Digital Entertainment,0.85
Double Dragon,2600,1989,Action,Activision,0.47
Klax,2600,1989,Puzzle,Atari,0.15
Adventures of Lolo,NES,1989,Puzzle,HAL Laboratory,0.06
